"QueChu","QueBien","ChuThich"
"PHONG THỦY HOÁN","KHẢM VI THỦY","Cho dù là chuyên gia thì cũng có lúc sai lầm, cho nên nói không tin không tin vào cách nhìn của người khác, hoặc dựa vào các biểu đồ, nên cẩn thận nghiên cứu thị trường, bồi dưỡng khả năng độc lập."
"THIÊN THỦY TỤNG","THIÊN TRẠCH LÝ","giao dịch rất tự tin, nhưng vì sự can thiệp của chính sách dẫn đến mất phần tiền lãi."
"THIÊN THỦY TỤNG","THIÊN ĐỊA BỈ","giá tăng gặp trở ngại, tạm thời mua bán không lợi, cuối cùng trở lực được phá vỡ, nhưng hôm nay lại xuất hiện xu thế ngược lại."
"THIÊN THỦY TỤNG","THIÊN PHONG CẤU","thấy giá thấp có thể mua nhiều, có thể lãi lớn. Cuối buổi chợ không nên chạy theo mua vào, không nên giữ hàng lại."
"THIÊN THỦY TỤNG","PHONG THỦY HOÁN","Cục diện hỗn loạn, muốn mua nhưng không mua được, mua nữa dù có thành cũng chẳng lợi gì. Ngược lại nghe được thông tin nào đó bất lợi, nhưng cuối cùng vẫn không gặp gì nguy hiểm."
"THIÊN THỦY TỤNG","HỎA THỦY VỊ TẾ","Họa vô đơn chí, câu nói này rất có lý, vốn đã biết nhập cuộc không có lợi, sau khi điều chỉnh lại còn bị mắc kẹt nặng hơn, buồn khổ nói không ra lời."
"THIÊN THỦY TỤNG","TRẠCH THỦY KHỐN","xu thế bị cản trở, việc làm thực tế khác với suy nghĩ của mình, nên mua bán chẳng được gì tuy không nguy hiểm."
"THIÊN HỎA ĐỒNG NHÂN","THIÊN SƠN ĐỘN","Tình hình ổn định, dao động khôn nhiều, tuy có những thông tin không lợi cho bạn, nhưng sẵn sàng bỏ qua, yên tâm mua bán sẽ có lợi."
"THIÊN HỎA ĐỒNG NHÂN","CÀN VI THIÊN","Là lúc bán ra tốt, không nên hy vọng giá cao lên nữa, không nên quá xúc động, cố chấp, như thế người sau đó thua lỗ sẽ là bạn."
"THIÊN HỎA ĐỒNG NHÂN","THIÊN LÔI VÔ VỌNG","Thị trường có trắc trở, ngưng đọng, lòng người bất an, mua bán dễ bị kẹt. Quan sát là chính, không được mù quáng nhập cuộc."
"THIÊN HỎA ĐỒNG NHÂN","PHONG HỎA GIA NHÂN","Thị trường tấp nập, lòng người khác nhau, hai bên mua bán đều không thuận hòa, không nên nhập cuộc, chờ thời cơ hành động."
"THIÊN HỎA ĐỒNG NHÂN","LY VI HỎA","Chứng phiếu bị kẹt đã có lối thoát, lòng vui vẻ dần, tốt nhất không nên vào sàn, chú ý nghỉ ngơi, chờ thời cơ."
"THIÊN HỎA ĐỒNG NHÂN","TRẠCH HỎA CÁCH","Xu thế có thay đổi lớn, trở lực của thị trường cũng rất lớn, lúc này tham gia không lợi, thế thủ là tốt nhất."
"CHẤN VI LÔI","LÔI ĐỊA DỰ","Mua bán tranh chấp căng thẳng, có xu thế bùng nổ, mọi người tuy hăng hái nhưng có vẻ khủng hoảng, không nắm chắc xu thế, do dự mãi cuối cùng bỏ lỡ thời cơ nhập cuộc. Không nên coi nhẹ lực lượng bên bán."
"CHẤN VI LÔI","LÔI TRẠCH QUY MUỘI","Tuy giá biến hóa khác thường, thị trường tiềm ẩn rủi ro lớn, nhưng không nguy hiểm cho bạn, không có gì bất lợi đối với mình, vẫn còn là vận may."
"CHẤN VI LÔI","LÔI HỎA PHONG","Cầu mong thắng lợi là mọi người đều muốn, nếu quá dụng tâm thì sẽ gây nên áp lực trong mua bán, đi đến cực đoan cuối cùng sẽ thất bại."
"CHẤN VI LÔI","ĐỊA LÔI PHỤC","Tưởng được mà hóa ra mất. Chú ý nắm vững thời cơ bán ra, áp lực bên bán lớn hơn, giá cả trượt xuống, không nên tham lam, cẩn thận đề phòng, về cuối lực lượng mua mới vào cuộc."
"CHẤN VI LÔI","TRẠCH LÔI TÙY","Thị trường tấp nập, cơ hội khi nào cũng có, khắp nơi đều là tiền bạc, điều khó khăn là bản thân ứng xử như thế nào, làm sao để nắm bắt được cơ hội. Chỉ có ra sức nghiên cứu, từ thực tiễn tổng kết bài kinh nghiệm, theo quy luật phát triển của thị trường mà hành động, không được tưởng tượng, không được ảo tưởng may rủi, cấm tham lam, bồi dưỡng cho mình đầu tư khoa học, lý tính vững vàng và khả năng ứng bie61nthi2 mới có thể là người thắng lợi."
"CHẤN VI LÔI","HỎA LÔI PHỆ HẠP","Thiếu lòng tin nên sau khi nhập cuộc cảm thấy lo sợ, cuối cùng đành phải rút lui."
"LÔI ĐỊA DỰ","CHẤN VI LÔI","Tùy cơ thao tác, không thể miễn cưỡng đeo đuổi một giá nào đó, giá cả không ổn định, có thể xuất hiện cao trào đột biến. Không nên vào sàn, chờ thời cơ mới hành động."
"LÔI ĐỊA DỰ","LÔI THỦY GIẢI","Nguồn tài rộng mở, có thể thu lợi lớn, chớ bỏ lỡ thời cơ, lúc này giá cả hơi xuống, về sau lại một mạch tăng lên."
"LÔI ĐỊA DỰ","LÔI SƠN TIỂU QUÁ","Xuất hiện trạng thái giao động nhỏ, nhập cuộc phải cẩn thận."
"LÔI ĐỊA DỰ","KHÔN VI ĐỊA","Thị trường hướng đến cực đoan, giá quanh quẩn dưới đáy, nên bình tĩnh chờ thị trường biến đổi, không nên nhập cuộc."
"LÔI ĐỊA DỰ","TRẠCH ĐỊA TỤY","Gặp được nhân hòa, có vận hội lãi lớn, mua bán khá thuận lợi."
"LÔI ĐỊA DỰ","HỎA ĐỊA TẤN","Giá tăng lên yếu ớt, không thể chỉ dựa vào tưởng tượng mà mua bán, nên tùy cơ điều chỉnh phương án của mình, nếu mau bán tùy tiện không những thua lỗ mà còn mất công."
"LÔI THỦY GIẢI","LÔI TRẠCH QUY MUỘI","Mua vào giá thấp, mua nhanh bán nhanh sẽ có lợi, không nên giữ lại hàng."
"LÔI THỦY GIẢI","LÔI ĐỊA DỰ","Sau khi nhập cuộc giá cả tiếp tục hạn xuống, bán ra ở khu vực giá cao thì nhất định có lợi. Chỉ nên mua bán nhanh, không nên làm ăn trung dài hạn."
"LÔI THỦY GIẢI","LÔI PHONG HẰNG","Biết đủ thì vui mừng, tham lam là điều cấm kỵ đầu tiên trong thị trường chứng khoán, bình tĩnh, ôn hòa, vào sàn đúng lúc là đại cát đại lợi."
"LÔI THỦY GIẢI","ĐỊA THỦY SƯ","Không nên mua vào, càng không nên tăng số lượng. Mua bán có trở ngại, thắng lợi không dễ, cẩn thận đề phòng bị mắc kẹt, so sánh thì sức bán mạnh hơn sức mua, giá cao nên bán ra."
"LÔI THỦY GIẢI","TRẠCH THỦY KHỐN","Mọi người đều say, chỉ riêng mình tỉnh, cho dù mọi người làm gì, bản thân nhất định phải hành động theo kế hoạch của mình, hành động cẩn thận, nhất định thu lãi."
"LÔI THỦY GIẢI","HỎA THỦY VỊ TẾ","Khắp nơi đầy tiền, làm thế nào để dành phần thắng? Điều trước hết là phải có trí tuệ, tiếp theo là nỗ lực, đầu tư khoa học, không được tham lam, không được ngông cuồng, v.v., chỉ có đầy đủ những đức tính đó mới có triển vọng là người thắng lợi trong thị trường chứng khoán."
"LÔI PHONG HẰNG","LÔI THIÊN ĐẠI TRÁNG","Nhập cuộc bị kẹt, lại chưa muốn bán ra, chẳng có cách nào khác."
"LÔI PHONG HẰNG","LÔI SƠN TIỂU QUÁ","Giá từ cao rơi xuống thấp, thuận theo xu thế mà phán đoán hướng đi của thị trường, không nên nhập cuộc."
"LÔI PHONG HẰNG","LÔI THỦY GIẢI","Lượng sức mà làm, dục tốc bất đạt, giá cả cao càng có xu hướng bật ngược trở lại."
"LÔI PHONG HẰNG","ĐỊA PHONG THĂNG","Nhập cuộc gặp trở ngại, nên ngừng giao dịch, nếu không sẽ mắc kẹt, không có cách giải thoát."
"LÔI PHONG HẰNG","TRẠCH PHONG ĐẠI QUÁ","Trong thị trường ổn định tiềm ẩn nguồn năng lượng lớn, đến trước thị trường dao động nên giữ thái độ trầm tĩnh, có dũng có mưu, so sánh bên bán và bên mua thì bên mua vào có lợi."
"LÔI PHONG HẰNG","HỎA PHONG ĐỈNH","Thừa thắng truy kích, có gì mà phải sợ?"
"ĐỊA PHONG THĂNG","ĐỊA THIÊN THÁI","Không có rủi ro, nắm vững sự biến đổi của thị trường, làm theo phương án của mình, nhập cuộc sẽ có lợi."
"ĐỊA PHONG THĂNG","ĐỊA SƠN KHIÊM","Bán ra ở mức giá cao có triển vọng thu lợi, mua bán không rõ ràng, trong lòng lo lắng. Nên mua bán nhanh, không nên giữ hàng lại."
"ĐỊA PHONG THĂNG","ĐỊA THỦY SƯ","Bên bán áp lực khá lớn, nhưng vì bên mua chống đỡ lại nên giá cả không bị trượt xuống mà xuống từng nấc theo bậc thang, thấy bán lợi thì kịp thời bán ra. Về cuối không nên chạy theo bán nữa."
"ĐỊA PHONG THĂNG","LÔI PHONG HẰNG","Sau khi nhập cuộc chú ý mua vào, giá tăng cao sẽ có triển vọng, không được do dự, phải dứt khoát thì sẽ thu lợi lớn."
"ĐỊA PHONG THĂNG","THỦY PHONG TỈNH","Có khách lớn mua vào, giá cả vì thế dao động lên xuống, mua bán nhanh là chính, rủi ro ít, lợi nhuận nhiều."
"ĐỊA PHONG THĂNG","SƠN PHONG CỔ","Thị trường biến đổi bất ngờ khiến cho chứng phiếu bị kẹt được giải thoát, thật là vui vẻ, nhưng không nên vì thế mà chủ quan."
"THỦY PHONG TỈNH","THỦY THIÊN NHU","Không có rủi ro, cầu tài có triển vọng, áp lực bên mua khá lớn, lượng giao dịch không nên nhiều."
"THỦY PHONG TỈNH","THỦY SƠN KIỀN","Nhập cuộc sẽ thắng lợi, nhưng không nên vì thế mà hành động tùy tiện, trước hết phải có kế hoạch hành động, không nên chạy theo cảm giác, cẩn thận đề phòng thị trường phát sinh bất ngờ, dẫn đến chuốc lấy thất bại."
"THỦY PHONG TỈNH","KHẢM VI THỦY","Nhất định phải kiềm chế mình, không được nhập cuộc, thị trường có sức hấp dẫn lớn, nhưng nếu vội vàng sẽ mắc kẹt."
"THỦY PHONG TỈNH","TRẠCH PHONG ĐẠI QUÁ","Dao động không yên, đề phòng hành động quá sức mình, lượng sức mà làm, nếu không gặp khi thị trường đột biến thì lực bất tòng tâm, chuốc lấy thất bại. Cao trào này qua đi giá cả sẽ xuống thấp."
"THỦY PHONG TỈNH","ĐỊA PHONG THĂNG","Lực lượng bên mua hùng mạnh, không được xem thường, bên bán tuy muốn áp đảo nhưng không áp đảo nổi. Bán ra phải cẩn thận, nên thuận xu thế mua vào thì sẽ thu lợi."
"THỦY PHONG TỈNH","TỐN VI PHONG","Thị trường sức mua khá lớn, có thể thuận theo xu thế mà làm, giữ hàng lại có lợi, rất dễ bỏ lỡ cơ hội nhập cuộc, nếu lòng tin không đủ thì tạm thời không nên nhập cuộc."
"TRẠCH PHONG ĐẠI QUÁ","TRẠCH THIÊN QUẢI","Giá tiếp tục lên cao, mọi người chỉ mong đến đỉnh, không dám mua vào, mà chỉ dám bán ra, kết quả không những không có lợi mà còn bị kẹt."
"PHONG THIÊN TIỂU SÚC","SƠN THIÊN ĐẠI SÚC","nhân tố chính sách khiến thị trường phát sinh biến đổi, theo đà đó mà mua bán có thể thu lãi. Thị trường sẽ không phụ lòng đối với những người làm việc cần mẫn và nhiệt tình."
"PHONG THIÊN TIỂU SÚC","THỦY THIÊN NHU","Không nên mặc cảm với thất bại trước đây, hãy gạt suy nghĩ lan man sang một bên, đứng trước thị trường không ngừng biến động, căn cứ tình hình cụ thể của mình, cố gắng hành động để thu lợi."
"PHONG HỎA GIA NHÂN","PHONG SƠN TIỆM","Bên bán có sức áp đảo, nhưng bên mua cũng không chịu thua, xuất hiện trạng thái bình thường, mua bán nhanh là chính."
"PHONG HỎA GIA NHÂN","PHONG THIÊN TIỂU SÚC","Bên mua hoành hành, bên bán áp đảo trở lại, bên mua hơi thất thế, nhưng thị trường người mua nhiều hơn người bán, về cuối giá cả vẫn lên cao."
"PHONG HỎA GIA NHÂN","PHONG LÔI ÍCH","Trong TTCK, những trường hợp gây cho mình lo lắng là bình thường, cần phải biết cách thích  nghi với những biến đổi đột biến này, trước hết phải giữ được tình cảm ổn định, chỉ có ổn định mới có thể phân tích được tình hình biến đổi, từ đó có phương án hành động đúng. Trong tình hình hiện nay tốt nhất là không nên nhập cuộc vì rủi ro rất lớn."
"PHONG HỎA GIA NHÂN","THIÊN HỎA ĐỒNG NHÂN","Hai bên mua bán tranh chấp cuối cùng bên mua chiếm thế thượng phong, vì thế nhập cuộc nên nghiên cứu cẩn thận để đề ra sách lược, cẩu thả thì sẽ bị mắc kẹt."
"PHONG HỎA GIA NHÂN","SƠN HỎA BÔN","Không nên bị một số hiện tượng mê hoặc, làm rõ nhân tố chủ yếu gây ảnh hưởng đến tình hình, không nên nhập cuộc vì không có lợi."
"PHONG HỎA GIA NHÂN","THỦY HOẢ KÝ TẾ","Mua bán đều tỏ ra hoang mang, không được manh động, thế thủ là tốt nhất"
"PHONG LÔI ÍCH","PHONG ĐỊA QUAN","Bên bán áp đảo, bên mua thủ thế, giá cả trượt xuống, cuối cùng vì bên bán đã bán hết nên giá cả hơi tăng lên."
"PHONG LÔI ÍCH","PHONG TRẠCH TRUNG PHÙ","Xu thế không rõ ràng, cầu tài khó khăn, không nên nhập cuộc."
"PHONG LÔI ÍCH","PHONG HỎA GIA NHÂN","Mọi người chan hòa, thị trường tấp nập, vào sàn giao dịch trôi chảy, sẽ thu lợi lớn."
"PHONG LÔI ÍCH","THIÊN LÔI VÔ VỌNG","Xu thế rõ ràng nhưng nhập cuộc không dễ thắng, bởi vì có biến đổi ngẫu nhiên, lợi nhuận trong tầm tay mà tuột mất. Không nên vào sàn, không nên quá tự tin mà sinh ra mù quáng."
"PHONG LÔI ÍCH","SƠN LÔI DI","chứng phiếu bị kẹt đã được giải thoát, thị trường xuất hiện biến đổi gì cũng không gây ra rủi ro, không nên mua bán mới, thế thủ là tốt."
"PHONG LÔI ÍCH","THỦY LÔI TRUÂN","Không tin gì gây cho mọi người phải sửng sốt, chỉ có hai bên mua bán cạnh tranh tự nhiên, lượng giao dịch không lớn, nhập cuộc rủi ro bình thường, có thể thu lợi ít."
"THIÊN LÔI VÔ VỌNG","THIÊN ĐỊA BỈ","Không thể nôn nóng, thế thủ là tốt, hành động mù quáng thì nguy hiểm, nên nghỉ ngơi quan sát."
"THIÊN LÔI VÔ VỌNG","THIÊN TRẠCH LÝ","Thị trường tấp nập, tinh thần hăng hái, dựa theo xu thế mà vào sàn có thể thu lợi."
"THIÊN LÔI VÔ VỌNG","THIÊN HỎA ĐỒNG NHÂN","Hai bên mua bán tranh nhau, cuối cùng bên mua chủ động, hành động phải cẩn thận."
"THIÊN LÔI VÔ VỌNG","PHONG LÔI ÍCH","Vận khí dần dần hanh thông, là thời cơ thành đại nghiệp, nhưng phải quyết đoán, mạnh bước tiến lên, không được do dự, không được vì thắng lợi mà mất cảnh giác, giá cả đi lên, từ đây phải cẩn thận."
"THIÊN LÔI VÔ VỌNG","HỎA LÔI PHỆ HẠP","Có chia rẽ, tuy có lợ nhưng cũng bị sứt mẻ, nhập cuộc phải chú ý điều chỉnh."
"THIÊN LÔI VÔ VỌNG","TRẠCH LÔI TÙY","Có dấu hiệu thất bại, nhập cuộc phải cẩn thận."
"HỎA LÔI PHỆ HẠP","HỎA ĐỊA TẤN","Đồng thời với việc kết thúc giá trượt xuống, bên mua đã mua vào, bên bán rủi ro rất lớn, mua bán nhanh là chính."
"HỎA LÔI PHỆ HẠP","HỎA TRẠCH KHUÊ","Thị trường rơi vào cực đoan, nhập cuộc lòng sẽ lo lắng, thiếu tự tin, không nên hành động, nghỉ ngơi chờ thời."
"TRẠCH PHONG ĐẠI QUÁ","TRẠCH SƠN HÀM","Mua vào nhiều không thể ôm lâu, cảnh giác xu thế chuyển đổi gây nên bị động."
"TRẠCH PHONG ĐẠI QUÁ","TRẠCH THỦY KHỐN","Cát tinh cao chiếu, ra cửa là gặp điều vui, thuận theo xu thế bán ra chẳng có gì nguy hiểm, cầu tài là được."
"TRẠCH PHONG ĐẠI QUÁ","THỦY PHONG TỈNH","Không thể ứng dung một cách giáo điều các loại lý thuyết, càng không thể tự cao tự phụ, hành động làm liều, vì cuối cùng sẽ chuốc lấy thất bại."
"TRẠCH PHONG ĐẠI QUÁ","LÔI PHONG HẰNG","Chú ý ở giá cả thích hợp mua vào, có thể lãi lớn."
"TRẠCH PHONG ĐẠI QUÁ","THIÊN PHONG CẤU","Giá lên cao, cảnh giác về sau giá có biến đổi. Ơ giá cao thích hợp nên bán ra."
"TRẠCH LÔI TÙY","TRẠCH ĐỊA TỤY","Vận khí thuận lợi, hợp tác với chu quanh để tìm ra xu thế tình hình, thuận theo đà mà vào sàn, giữ cho tâm tình thoải mái, nhất định sẽ có lãi."
"TRẠCH LÔI TÙY","ĐOÀI VI TRẠCH","Không nên nghe ý kiến người khác, người nói giá lên, người nói giá xuống làm cho bạn dao động, dứt khoát không làm."
"TRẠCH LÔI TÙY","TRẠCH HỎA CÁCH","Không nên nhập cuộc, rủi ro lớn, thậm chí bị thua thiệt, nếu nhất thiết phải mua bán thì nên cẩn thận, thị trường sẽ xuất hiện biến cố, khiến cho bạn bị động, trong lòng hối tiếc."
"TRẠCH LÔI TÙY","THỦY LÔI TRUÂN","Khắp nơi đầy tiền, quan sát thị trường biến đổi, giá cả vẫn còn cao, sẽ dần dần tụt xuống, thời cơ nhập cuộc thích hợp, có thể giữ chứng phiếu lại, không có gì nguy hiểm."
"TRẠCH LÔI TÙY","CHẤN VI LÔI","Người ta bịa đặt để mê hoặc chung quanh, không khí thị trường không chính đáng, không nên nhập cuộc."
"TRẠCH LÔI TÙY","THIÊN LÔI VÔ VỌNG","Là lúc hai bên mua bán nhìn nhau thăm dò, lúc đó có thê tạm thời chỉnh lý, tổng kết bài học kinh nghiệm, nghiên cứu sách lược cho bước sau."
"TỐN VI PHONG","PHONG THIÊN TIỂU SÚC","Xu thế không rõ, trong lòng mê muội, có khách hàng lớn nhập cuộc mua vào, giá cả tăng lên. Không đủ lòng tin để nhập cuộc, cho nên tốt nhất là đứng ngoài quan sát."
"TỐN VI PHONG","PHONG SƠN TIỆM","Trong lòng đầy mê hoặc, không nắm chắc thực lực hai bên mua bán, được không bằng mất, nên cẩn thận đề phòng lực lượng bên bán."
"TỐN VI PHONG","PHONG THỦY HOÁN","Lòng người phân tán, áp lực bên bán khá lớn, nhập cuộc lợi ít, phải cẩn thận đề phòng những lời bịa đặt, làm bỏ lỡ thời cơ."
"TỐN VI PHONG","THIÊN PHONG CẤU","Có thể thắng lớn, chú ý nắm chắc tình hình, phân phối tốt lượng hàng, thuận theo xu thế mà hành động có thể sẽ tăng thêm lợi nhuận. Có khách hàng lớn nhập cuộc, thấy lợi thì kịp thời bán ra, về cuối không nên lại mua vào."
"TỐN VI PHONG","SƠN PHONG CỔ","Tình hình có hiện tượng khác thường, thị trường tiềm ẩn rủi ro cực lớn. Nhập cuộc dễ bị mắc kẹt."
"TỐN VI PHONG","THỦY PHONG TỈNH","Đáng lẽ giá cao thì lại giảm, vào sàn bị mê hoặc, do đó tạm thời nên chờ đợi cho xu thế rõ ràng."
"PHONG THIÊN TIỂU SÚC","TỐN VI PHONG","Nhập cuộc không lợi, nên cẩn thận."
"PHONG THIÊN TIỂU SÚC","PHONG HỎA GIA NHÂN","Thị trường xuất hiện cảnh tượng hoan hỉ tấp nập, mọi người hăng hái, tùy xu thế mà mua bán, không có gì nguy hiểm."
"PHONG THIÊN TIỂU SÚC","PHONG TRẠCH TRUNG PHÙ","Mọi người tuy hăng hái nhưng nhân tố tự nhiên ảnh hưởng đến xu thế, lại có khách hàng mới nhập cuộc, lúc đó bình tĩnh quan sát, không nên vào sàn."
"PHONG THIÊN TIỂU SÚC","CÀN VI THIÊN","Giá giao dịch đột biến, lại gặp lực cản, mua bán không thuận, dễ bị kẹt, kết quả mất công toi, còn gây bị động cho bước sau."
"HỎA LÔI PHỆ HẠP","LY VI HỎA","Chờ thời cơ thích hợp vào sàn, mua bán nhanh, thấy lợi thì bán ra, không nên giữ lại."
"HỎA LÔI PHỆ HẠP","SƠN LÔI DI","Bên mua nhảy vào thử nghiệm, bên bán chờ thời cơ để áp đảo, không nên chạy theo mua vào, nếu không sẽ bị kẹt."
"HỎA LÔI PHỆ HẠP","THIÊN LÔI VÔ VỌNG","Sự việc ngược lại với ý muốn, mua vào bị kẹt."
"HỎA LÔI PHỆ HẠP","CHẤN VI LÔI","Nhập cuộc mua bán, giữa chừng tình hình đột biến, bi mắc kẹt không có lợi, không nên chạy theo thị trường."
"SƠN LÔI DI","SƠN ĐỊA BÁC","Áp lực bán ra khá lớn, chạy theo mua vào sẽ bị kẹt, nếu có chứng phiếu bị kẹt nên kịp thời bán ra, không nên giữ lại lâu, bán ra sẽ có lợi."
"SƠN LÔI DI","SƠN TRẠCH TỔN","So sánh lực lượng, bên bán mạnh hơn, bên mua thế thủ, chú ý vật đến cùng cực sẽ quy trở lại."
"SƠN LÔI DI","SƠN HỎA BÔN","Có khách hàng lớn thao túng, cục diện dao động, rủi ro khá lớn."
"SƠN LÔI DI","HỎA LÔI PHỆ HẠP","Thấy thấp thì mua, đó là sách lược mua bán của mỗi ngày."
"SƠN LÔI DI","PHONG LÔI ÍCH","Nắm vững lợi ích vừa giành được, nhưng không thể vì thế mà hành động do dự, nếu không sẽ chuốc lấy thất bại."
"SƠN LÔI DI","ĐỊA LÔI PHỤC","Đeo đuổi bán ra có thể lợi lớn, chú ý quyết toán kịp thời, về cuối có người mua vào, giá sẽ tăng lên."
"SƠN PHONG CỔ","SƠN THIÊN ĐẠI SÚC","Giá liên tục giảm xuống. Nhưng vật đến cùng cực sẽ quay ngược lại, đầu bán đã bán hết, đầu mua đang đang tích lũy lực lượng."
"SƠN PHONG CỔ","CẤN VI SƠN","Giá tăng yếu ớt, áp lực bán ra khá lớn, xu thế không rõ ràng, nên quan sát chờ đợi."
"SƠN PHONG CỔ","SƠN THỦY MÔNG","Thị trường có rủi ro, phải chú ý quan sát, không nên nhập cuộc, lợi nhuận không lớn, không cần thiết mạo hiểm."
"SƠN PHONG CỔ","HỎA PHONG ĐỈNH","Thành thật chờ đợi tất sẽ thành công, từ đây giá cả sẽ lên cao, nên mua vào."
"SƠN PHONG CỔ","TỐN VI PHONG","Mẫu thuẫn được hóa giải, lỗ được bù đắp, hơn nữa còn lãi."
"SƠN PHONG CỔ","ĐỊA PHONG THĂNG","Giá cả dần dần tăng lên, không thể mù quáng nhập cuộc, vì thị trường ngẫu nhiên có sự cố nên dễ bị kẹt."
"KHẢM VI THỦY","THỦY TRẠCH TIẾT","Mua bán ngang sức nhau, giá cả lên xuống không ổn định, nhập cuộc rủi ro lớn, nên chờ thời cơ."
"KHẢM VI THỦY","THỦY ĐỊA TỶ","Thị trường dao động, giá cả trượt xuống, không nên mua bán."
"KHẢM VI THỦY","THỦY PHONG TỈNH","Chứng phiếu bị kẹt được giải thoát, mua mới vào sẽ có lãi, giá thấp có triển vọng lên cao, nhưng sức mua tăng không mạnh, dù vậy chẳng có gì không lợi."
"KHẢM VI THỦY","TRẠCH THỦY KHỐN","Tình hình có đột biến, giá cả không ổn định, mọi người lo lắng, xu thế không rõ ràng, không nên nhập cuộc."
"KHẢM VI THỦY","ĐỊA THỦY SƯ","Có biến đổi mới, hầu như đột biến, làm cho bạn không kịp quan sát, mua bán tranh nhau, mua vào không nên giữ lâu, nếu không sẽ bị mắc kẹt."
"KHẢM VI THỦY","PHONG THỦY HOÁN","Thị trường nhạt nhẽo, tinh thần uể oải, bên mua tham gia thị trường để làm thử, nhưng phản ứng không lớn, giá cả vẫn nằm ở mức thấp. Nhập cuộc dễ bị kẹt."
"THỦY TRẠCH TIẾT","KHẢM VI THỦY","Thị trường rủi ro rất lớn, xu thế không rõ, lòng người không ổn định, mua bán hỗn chiến, nhập cuộc sẽ bị mắc kẹt. Tốt nhất đứng ngoài. "
"THỦY TRẠCH TIẾT","THỦY LÔI TRUÂN","Tham lam sẽ thất bại, tính tình không tốt thì không nên nhập cuộc. Thực lực bên mua vừa phải, mua vào phải cẩn thận, không thể làm liều, tuy không rủi ro nhưng cũng không có lợi."
"THỦY TRẠCH TIẾT","THỦY THIÊN NHU","Thị trường tuy tấp nập, nhưng có vẻ hỗn loạn. Sức mua của thị trường khá lớn, giá cả dao động nhiều, mọi người đều không chú ý, xu thế khong rõ, giao dịch phải cẩn thận, cần kiên nhẫn chờ đợi."
"THỦY TRẠCH TIẾT","ĐOÀI VI TRẠCH","Mâu thuẫn được hóa giải, thua lỗ được bù đắp, chú ý bán chứng phiếu ra, không nên mua mới, không nên giữ lại."
"THỦY TRẠCH TIẾT","ĐỊA TRẠCH LÂM","Chủ quan cho rằng mình là cừ nhất, vì tạm thời lãi được một ít mà bước sau bắt đầu thua lỗ. Lòng tham lại nổi lên, càng chuốc lấy bất lợi. Về cuối giá cả hạ xuống, cần đề phòng có khách hàng lớn nhập cuộc mua vào."
"THỦY TRẠCH TIẾT","PHONG TRẠCH TRUNG PHÙ","Thị trường tấp nập, lòng người hăng hái, nên mua bán nhanh, vào nhanh ra nhanh sẽ thu lợi lớn, không nên do dự. "
"THỦY LÔI TRUÂN","THỦY ĐỊA TỶ","Có rủi ro, không nên mua bán. E rằng bạn không kìm được mình, mua vào nhiều, trong ngày không bán ra được sẽ bị mắc ket."
"THỦY LÔI TRUÂN","THỦY TRẠCH TIẾT","Thị trường sôi động, có biến đổi lớn, nhưng bạn phải cẩn thận, cần hành động theo xu thế, đó cũng là nguyên tắc chung để không thất bại. Đi ngược xu thế luôn bị sai lầm."
"THỦY LÔI TRUÂN","THỦY HOẢ KÝ TẾ","Giá cả biến động rõ rệt, bạn xem nên mua bán loại chứng khoán nào ? Hôm nay nhất định sẽ có lãi, hy vọng bạn mua bán cẩn thận. So sánh giữa mua và bán thì sức mua lớn hơn."
"THỦY LÔI TRUÂN","TRẠCH LÔI TÙY","Thoát ra từ giá cao, rồi lại tiếp tục lên cao. Hôm nay phải nắm chắc thời cơ, bán cao mua thấp, mua bán nhiều lần sẽ thu lợi lớn."
"THỦY LÔI TRUÂN","ĐỊA LÔI PHỤC","Hôm nay bất ngờ nghe được những tin bất lợi, lo lắng chứng khoán của mình bị kẹt, bị thua lỗ. Nhưng không nên hốt hoảng vì không có rủi ro."
"THỦY LÔI TRUÂN","PHONG LÔI ÍCH","Thị trường bao la, xu thế rõ ràng, mọi người mua bán tấp nập, nhưng bạn lại lo lắng không dám nhập cuộc."
"THỦY HOẢ KÝ TẾ","THỦY SƠN KIỀN","Lực lượng mua bán ngang nhau, giá cả dao động, xu thế không rõ ràng, có thể căn cứ tình hình để bán hay mua đều được, không có lợi lớn."
"THỦY HOẢ KÝ TẾ","THỦY THIÊN NHU","Nhập cuộc tinh thần hăng hái, sức mua thị trường khá lớn, về cuối giá cả tăng lên, thuận theo xu thế mà vào sàn sẽ có thu nhập lớn. Cẩn thận đề phòng có sự phá hoại nhỏ. "
"THỦY HOẢ KÝ TẾ","THỦY LÔI TRUÂN","Từ hiện tượng mà xét thì không có dấu hiệu gì đặc biệt phải lo ngại, có thể giao dịch một ít để làm thử, sức mua không đủ mạnh, bên bán áp đảo, thua lỗ ít nhưng tổng thể mà xét thì vẫn còn chủ động."
"THỦY HOẢ KÝ TẾ","TRẠCH HỎA CÁCH","Thị trường dần dần tấp nập, lượng giao dịch lớn, thuận theo xu thế mà vào sàn có thể thu lợi, dùng phương thức hành động khác với mọi người thì sẽ thắng lớn. Vừa phải mạnh dạn, vừa phải hiểu biết, cấm mù quáng. "
